name_common,age,mlb_ID,player_ID,year_ID,team_ID,stint_ID,lg_ID,PA,G,Inn,runs_bat,runs_br,runs_dp,runs_field,runs_infield,runs_outfield,runs_catcher,runs_good_plays,runs_defense,runs_position,runs_position_p,runs_replacement,runs_above_rep,runs_above_avg,runs_above_avg_off,runs_above_avg_def,WAA,WAA_off,WAA_def,WAR,WAR_def,WAR_off,WAR_rep,salary,pitcher,teamRpG,oppRpG,oppRpPA_rep,oppRpG_rep,pyth_exponent,pyth_exponent_rep,waa_win_perc,waa_win_perc_off,waa_win_perc_def,waa_win_perc_rep,OPS_plus,TOB_lg,TB_lg
Albert Almora,24.0,546991.0,almoral01,2018,CHC,1,NL,29.0,9,48.0,-0.34,0.16,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.94,1.8,0.9,-0.1,1.1,0.09,-0.01,0.11,0.18,0.11,0.08,0.09,,N,4.1295,4.14395,0.07429,4.039219999999999,1.8259999999999998,1.82,0.5108,0.4984,0.513,0.4884,96.5515,9.482999999999999,10.822000000000001
Javier Baez,25.0,595879.0,baezja01,2018,CHC,1,NL,43.0,10,90.6,4.14,0.41,0.38,-2.0,1.0,0.0,0.0,1.0,0.0,0.3,0.0,1.36,6.6,5.2,5.2,0.3,0.54,0.55,0.02,0.68,0.02,0.69,0.14,,N,4.66695,4.14395,0.07429,4.00787,1.859,1.818,0.555,0.555,0.5033,0.4848,192.0049,14.061,14.027999999999999
Kris Bryant,26.0,592178.0,bryankr01,2018,CHC,1,NL,56.0,10,105.0,6.48,-0.58,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.17,0.0,1.36,6.4,5.1,6.1,-0.8,0.52,0.63,-0.1,0.65,-0.1,0.76,0.13,,N,4.75095,4.14395,0.07429,4.00787,1.864,1.818,0.5526,0.5634,0.4909,0.4848,199.2758,18.312,18.437
Eddie Butler,27.0,572750.0,butleed01,2018,CHC,1,NL,2.0,3,11.0,0.03,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.3,0.3,0.3,0.0,0.03,0.03,0.0,0.03,0.0,0.03,0.0,,Y,4.2306099999999995,4.14395,0.07429,4.12228,1.8330000000000002,1.8259999999999998,0.5095,0.5095,0.5,0.4976,52.9052,0.654,0.401
Victor Caratini,24.0,605170.0,caratvi01,2018,CHC,1,NL,25.0,6,49.3,-0.27,0.35,0.19,0.0,0.0,0.0,1.0,0.0,1.0,-0.09,0.0,0.81,2.0,1.2,0.2,0.9,0.12,0.02,0.1,0.2,0.1,0.1,0.08,,N,4.17395,4.14395,0.07429,4.00853,1.829,1.819,0.5219,0.5033,0.517,0.4849,95.4944,8.175,9.218
Tyler Chatwood,28.0,543022.0,chatwty01,2018,CHC,1,NL,3.0,2,11.0,-0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,-0.4,-0.4,-0.4,0.0,-0.04,-0.04,0.0,-0.04,0.0,-0.04,0.0,,Y,3.94395,4.14395,0.07429,4.0952,1.814,1.824,0.4776,0.4776,0.5,0.4946,-100.0,0.981,1.202
Steve Cishek,32.0,518553.0,cishest01,2018,CHC,1,NL,1.0,5,5.3,-0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,-0.1,-0.1,-0.1,0.0,-0.02,-0.02,0.0,-0.02,0.0,-0.02,0.0,,Y,4.11595,4.14395,0.07429,4.13745,1.825,1.827,0.4969,0.4969,0.5,0.4993,-100.0,0.327,0.401
Willson Contreras,26.0,575929.0,contrwi01,2018,CHC,1,NL,49.0,9,97.0,2.34,-0.11,-0.39,-1.0,0.0,0.0,2.0,-1.0,0.0,0.63,0.0,1.22,3.7,2.5,2.5,0.6,0.26,0.27,0.06,0.39,0.06,0.4,0.13,,N,4.4183900000000005,4.14395,0.07429,4.00787,1.844,1.818,0.5295,0.5295,0.5077,0.4848,146.6727,16.023,17.234
Yu Darvish,31.0,506433.0,darviyu01,2018,CHC,1,NL,4.0,2,10.3,-1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.49,0.0,-0.5,-0.5,-0.5,0.0,-0.06,-0.06,0.0,-0.06,0.0,-0.06,0.0,,Y,3.87895,4.14395,0.07429,4.07895,1.81,1.8230000000000002,0.4701,0.4701,0.5006,0.4928,-100.0,0.981,1.202
Brian Duensing,35.0,488846.0,duensbr01,2018,CHC,1,NL,0.0,6,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Y,4.14395,4.14395,0.07429,4.14395,1.827,1.827,0.5,0.5,0.5,0.5,,0.0,0.0
Carl Edwards,26.0,605218.0,edwarca01,2018,CHC,1,NL,0.0,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Y,4.14395,4.14395,0.07429,4.14395,1.827,1.827,0.5,0.5,0.5,0.5,,0.0,0.0
Ian Happ,23.0,664023.0,happia01,2018,CHC,1,NL,36.0,8,62.0,-1.48,0.31,0.19,-1.0,0.0,0.0,0.0,0.0,-1.0,0.08,0.0,1.09,-0.8,-1.9,-0.9,-0.9,-0.22,-0.1,-0.11,-0.11,-0.11,0.01,0.11,,N,4.03145,4.14395,0.07429,4.00787,1.82,1.818,0.4739,0.4875,0.4875,0.4848,67.183,11.772,13.225999999999999
