Team,,Tm
Angels,Los Angeles Angels of Anaheim,Boston Red Sox
Astros,Houston Astros,Toronto Blue Jays
Athletics,,New York Yankees
Blue Jays,,Baltimore Orioles
Braves,,Tampa Bay Rays
Brewers,,Chicago White Sox
Cardinals,,Cleveland Indians
Cubs,,Minnesota Twins
Diamondbacks,,Detroit Tigers
Dodgers,,Kansas City Royals
Giants,,
Indians,,Seattle Mariners
Mariners,,
Marlins,,Oakland Athletics
Mets,,Texas Rangers
Nationals,,Washington Nationals
Orioles,,New York Mets
Padres,,Atlanta Braves
Phillies,,Miami Marlins
Pirates,,Philadelphia Phillies
Rangers,,Pittsburgh Pirates
Rays,,Milwaukee Brewers
Red Sox,,St. Louis Cardinals
Reds,,Chicago Cubs
Rockies,,Cincinnati Reds
Royals,,Arizona Diamondbacks
Tigers,,Colorado Rockies
Twins,,San Francisco Giants
White Sox,,Los Angeles Dodgers
Yankees,,San Diego Padres
