IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events
10155,2021,Mike Trout,LAA,29,8,28,37,12,6,3,0,3,8,6,9,1,9,0,0,0,0,0,0,0.429,6,8,5,0,161,78,83,2,0,0,0.243,0.243,1.0,0.568,0.857,1.425,0.429,0.563,0.0075,0.263,0.316,0.42100000000000004,0.0,0.375,0.33299999999999996,0.0,0.58,8.0,12,7.9,,1.1,0.1,9.2,0.9,$7.5,1.3,278,0.31,-0.64,0.95,4.96,0.49,1.18,,0,0.75,-0.49,0.6,94.9,0.16899999999999998,85.5,0.055999999999999994,86.3,0.08800000000000001,80.4,0.08800000000000001,84.2,,,,,0.031,,4.4,1.1,1.3,-0.2,1.4,,,4.62,3.97,14.53,-1.77,10.2,,,0.141,0.623,0.348,0.6920000000000001,0.7909999999999999,0.768,0.429,0.541,0.081,-0.1,0.47200000000000003,,0.087,,,0.13,0.13699999999999998,0.05,0.037000000000000005,,0.087,,,,94.8,,87.0,,,95.2,85.0,80.0,80.7,,84.1,,,-3.8,,-0.3,,,0.3,1.0,4.1,1.4,,-5.4,,,11.2,,4.0,,,5.0,1.1,-5.8,-7.1,,6.3,,,2.3,,1.5,,,2.0,0.9,-0.3,0.1,,1.4,,,2.98,,10.85,,,9.69,3.92,-3.85,1.0,,10.2,,,0.111,0.588,0.348,0.556,0.809,0.768,0.49700000000000005,,0.1,-0.1,,29 - 29,7.9,0.1,,0.632,0.316,0.053,0.105,0.316,0.579,0.568,0.087,,0.068,0.503,0.087,,,,0.099,0.155,,84.1,,79.3,95.0,87.0,,,,94.6,84.9,,-5.0,,4.2,-3.5,-0.1,,,,2.9,1.8,,4.2,,-9.5,9.5,2.4,,,,1.8,-1.2,,1.4,,0.1,3.0,1.5,,,,1.3,0.5,,10.2,,0.7,3.68,10.85,,,,8.23,2.14,,0.128,0.6,0.348,0.636,0.8,0.768,0.466,,,181.0,267,96,181.0,219.0,278.0,191.0,1.26,75.0,114.0,292.0,153.0,92.0,21.0,62.0,62.0,183.0,96.3,10.0,5,0.263,113.2,14,0.737,19
11737,2021,Nick Castellanos,CIN,29,7,28,30,12,5,2,1,4,9,7,1,0,4,1,0,0,0,0,0,0.429,8,10,6,0,107,37,70,1,0,0,0.033,0.133,0.25,0.467,1.0,1.467,0.571,0.4,0.008,0.25,0.33299999999999996,0.41700000000000004,0.0,0.4,0.125,0.0,0.609,7.2,11,7.0,,0.9,-0.3,7.6,0.8,$6.2,5.1,291,0.72,-0.31,1.03,7.03,0.71,0.74,,0,0.78,0.2,0.41100000000000003,93.1,0.22399999999999998,84.8,0.084,88.8,0.10300000000000001,79.2,0.17800000000000002,84.5,,,,,,,3.1,2.7,1.9,-0.2,0.4,,,6.97,11.35,21.55,-1.56,1.91,,,0.451,0.833,0.579,0.43799999999999994,0.9670000000000001,0.6940000000000001,0.336,0.5,0.17800000000000002,0.0,0.28,,0.09300000000000001,,,0.131,0.22399999999999998,0.075,0.027999999999999997,,0.168,,,,92.8,,88.7,,,93.6,84.8,78.2,81.4,,84.1,,,-2.3,,1.0,,,-9.2,3.0,5.3,5.1,,-4.7,,,10.0,,5.1,,,6.3,1.6,-6.1,-6.4,,5.2,,,2.9,,1.6,,,0.0,2.6,0.3,-0.4,,0.7,,,9.76,,15.88,,,0.32,10.95,3.23,-14.4,,3.97,,,0.39299999999999996,0.826,0.579,0.375,0.895,0.6940000000000001,0.43,,-0.3,0.0,,29 - 29,6.9,0.0,,0.33299999999999996,0.5,0.16699999999999998,0.042,0.667,0.292,0.3,0.168,,0.10300000000000001,0.29,0.065,,,,0.121,0.252,,84.4,,79.7,93.4,89.3,,,,94.1,85.8,,-4.0,,6.1,-1.9,2.5,,,,-8.8,3.4,,3.5,,-7.9,8.8,3.7,,,,4.9,0.6,,0.7,,-0.2,2.9,1.8,,,,0.1,2.4,,3.97,,-1.58,9.23,26.35,,,,0.86,8.79,,0.386,0.8,0.579,0.364,0.875,0.6940000000000001,0.467,,,186.0,33,56,148.0,252.0,342.0,145.0,1.17,77.0,118.0,288.0,82.0,144.0,67.0,26.0,131.0,89.0,92.0,13.4,5,0.20800000000000002,109.7,13,0.542,24
14161,2021,Byron Buxton,MIN,27,6,19,21,8,1,3,0,4,6,5,2,0,5,0,0,0,0,1,0,0.421,5,7,2,0,73,23,50,0,0,0,0.095,0.23800000000000002,0.4,0.476,1.211,1.687,0.789,0.4,0.0070999999999999995,0.14300000000000002,0.35700000000000004,0.5,0.0,0.5710000000000001,0.0,0.0,0.683,6.3,9,6.2,,0.6,0.1,7.1,0.7,$5.8,6.0,344,0.47,-0.38,0.85,4.15,0.42,1.07,,0,0.5,-0.06,0.397,93.0,0.342,84.4,0.12300000000000001,95.2,0.013999999999999999,76.0,0.11,80.5,0.013999999999999999,84.0,,,,,1.5,1.6,2.7,0.0,0.3,0.1,,5.09,6.34,30.44,0.0,3.22,9.34,,0.479,0.72,0.562,0.652,0.889,0.7559999999999999,0.342,0.762,0.13699999999999998,0.2,0.27399999999999997,,0.12300000000000001,,,0.12300000000000001,0.247,0.11,,,0.12300000000000001,,,,93.0,,95.1,,,93.0,86.1,79.2,,,80.8,,,-1.8,,1.8,,,-4.0,2.3,4.9,,,7.8,,,9.8,,9.3,,,8.5,1.5,-1.1,,,4.4,,,1.9,,2.7,,,-0.4,-0.5,2.1,,,0.4,,,9.4,,30.44,,,-4.47,-2.94,26.42,,,3.9,,,0.42100000000000004,0.7140000000000001,0.562,0.625,0.84,0.7559999999999999,0.479,,0.1,0.2,,27 - 27,6.4,0.0,,0.5710000000000001,0.28600000000000003,0.14300000000000002,0.071,0.35700000000000004,0.5710000000000001,0.524,0.12300000000000001,,0.013999999999999999,0.28800000000000003,0.12300000000000001,,,,0.11,0.342,,81.0,,76.4,92.8,94.7,,,,93.6,84.1,,7.3,,-7.9,-1.2,2.3,,,,-5.4,4.2,,3.2,,-9.0,8.9,7.9,,,,7.0,-0.3,,0.4,,0.0,1.8,2.7,,,,-0.4,1.6,,3.9,,0.0,8.74,30.44,,,,-4.48,6.34,,0.42100000000000004,0.7140000000000001,0.562,0.625,0.84,0.7559999999999999,0.479,,,178.0,104,94,152.0,310.0,512.0,136.0,0.68,85.0,135.0,445.0,139.0,84.0,58.0,42.0,70.0,180.0,97.3,14.7,4,0.28600000000000003,114.1,9,0.643,14
17423,2021,Yermin Mercedes,CHW,28,6,27,28,15,10,3,0,2,5,7,1,0,3,0,0,0,0,0,0,0.556,9,7,8,0,104,34,70,2,0,0,0.036000000000000004,0.107,0.33,0.571,0.889,1.46,0.333,0.591,0.0129,0.33299999999999996,0.375,0.292,0.0,0.28600000000000003,0.222,0.0,0.626,7.1,10,7.0,,0.8,-0.6,7.2,0.7,$5.9,0.9,308,0.38,-0.32,0.7,7.41,0.74,0.88,,0,0.89,-0.46,0.452,92.6,0.221,83.0,0.077,87.9,0.106,80.5,0.135,83.4,0.01,92.0,,,,,2.9,2.3,1.0,-0.4,2.4,-0.2,,6.12,10.05,12.51,-3.43,16.92,-15.61,,0.33899999999999997,0.7290000000000001,0.519,0.8420000000000001,0.8859999999999999,0.87,0.462,0.46399999999999997,0.067,-0.1,0.298,,0.087,0.019,,0.154,0.192,0.096,0.028999999999999998,,0.125,,,,92.8,,87.7,89.6,,92.1,83.2,79.2,83.4,,83.0,,,1.9,,0.7,-7.1,,-6.6,4.1,4.6,1.8,,7.6,,,10.1,,4.5,2.7,,6.9,0.3,-5.9,-5.7,,3.8,,,0.9,,1.0,1.3,,2.0,1.8,0.0,0.0,,0.9,,,2.93,,11.45,64.21,,12.3,9.1,0.27,0.29,,7.14,,,0.34,0.706,0.519,0.889,0.861,0.87,0.49,,-0.6,-0.1,,28 - 28,7.0,0.1,,0.5,0.375,0.125,0.20800000000000002,0.45799999999999996,0.33299999999999996,0.214,0.125,,0.106,0.26899999999999996,0.057999999999999996,0.019,,,0.183,0.24,,83.2,,80.7,93.2,89.1,89.7,,,92.4,83.5,,7.2,,4.9,1.0,0.8,-6.7,,,-4.1,3.8,,1.9,,-8.2,8.7,3.5,0.8,,,5.6,-1.4,,0.9,,-0.4,0.9,1.0,1.3,,,1.9,2.3,,7.14,,-3.86,3.35,17.29,64.21,,,10.2,9.09,,0.34600000000000003,0.6920000000000001,0.519,0.889,0.861,0.87,0.5,,,235.0,39,42,182.0,228.0,216.0,201.0,1.59,89.0,79.0,222.0,121.0,110.0,51.0,122.0,89.0,105.0,86.3,10.4,4,0.16699999999999998,113.3,8,0.33299999999999996,24
13359,2021,Tyler Naquin,CIN,30,7,22,27,7,2,0,0,5,7,14,4,0,6,1,0,0,0,1,0,0.318,8,7,1,0,105,42,63,0,0,0,0.14800000000000002,0.222,0.67,0.444,1.0,1.444,0.682,0.182,0.011399999999999999,0.063,0.5,0.43799999999999994,0.0,0.7140000000000001,0.0,0.0,0.578,5.8,9,5.6,,0.8,-0.2,6.4,0.7,$5.3,5.2,271,0.44,-0.21,0.66,8.77,0.89,0.62,0.17,1,0.61,0.11,0.562,92.6,0.124,86.9,0.048,88.6,0.114,79.8,0.133,86.1,0.019,91.0,,,,,2.2,0.8,-0.3,-0.6,3.9,-0.2,,3.75,6.08,-5.69,-5.3,28.16,-11.14,,0.303,0.718,0.457,0.55,0.75,0.667,0.371,0.63,0.152,0.2,0.429,,0.057,0.019,,0.133,0.114,0.076,0.038,,0.133,,,,92.5,,87.9,90.8,,92.5,87.0,79.3,80.8,,86.1,,,-2.1,,0.6,-4.1,,-6.5,0.5,3.9,5.0,,-8.3,,,9.1,,4.3,2.4,,6.4,2.1,-6.4,-6.3,,4.5,,,0.0,,1.2,-0.2,,2.2,-0.7,-0.5,-0.2,,3.9,,,0.01,,19.26,-11.14,,15.75,-5.42,-6.72,-4.82,,28.16,,,0.321,0.612,0.457,0.5,0.767,0.667,0.467,,-0.2,0.2,,30 - 30,5.8,0.0,,0.688,0.188,0.125,0.063,0.25,0.688,0.556,0.133,,0.114,0.429,0.057,0.019,,,0.133,0.114,,86.5,,80.4,93.4,88.4,91.5,,,92.1,87.6,,-7.6,,4.9,-2.0,1.6,-3.2,,,-4.6,0.9,,3.1,,-7.8,8.0,3.2,1.1,,,5.1,0.8,,3.9,,-0.7,2.0,-0.3,-0.2,,,0.2,0.8,,28.16,,-6.09,4.42,-5.51,-11.14,,,1.6,6.97,,0.322,0.63,0.457,0.526,0.759,0.667,0.43799999999999994,,,138.0,149,94,141.0,252.0,408.0,66.0,0.29,116.0,124.0,513.0,170.0,54.0,51.0,38.0,49.0,210.0,99.8,9.5,5,0.313,113.5,13,0.813,16
13613,2021,Ketel Marte,ARI,27,6,26,28,12,6,4,0,2,5,5,2,0,4,0,0,0,1,0,0,0.462,10,5,7,1,123,45,78,2,0,0,0.071,0.14300000000000002,0.5,0.5,0.846,1.346,0.385,0.5,0.02,0.318,0.455,0.22699999999999998,0.2,0.4,0.2,0.0,0.569,5.8,9,5.7,,0.8,0.1,6.6,0.7,$5.4,1.1,266,0.4,-0.46,0.86,5.53,0.59,0.92,,0,0.62,-0.18,0.455,94.6,0.13,83.9,0.081,89.1,0.13,82.9,0.171,86.0,0.033,89.0,,,,,2.1,0.2,1.6,1.5,1.2,0.0,,3.7,1.24,15.55,9.65,5.8,0.46,,0.26,0.62,0.40700000000000003,0.9470000000000001,0.935,0.94,0.40700000000000003,0.5710000000000001,0.024,0.0,0.39,,0.073,0.008,,0.065,0.138,0.033,0.098,,0.195,,,,94.7,,89.0,92.4,,93.3,83.9,81.0,83.5,,86.1,,,-2.7,,1.0,-6.4,,-8.5,1.7,1.5,0.7,,-3.0,,,8.9,,3.5,3.3,,5.1,-0.1,-5.1,-5.0,,5.2,,,0.6,,1.5,0.0,,1.5,0.3,0.9,0.6,,0.1,,,1.22,,16.66,2.99,,18.57,1.49,23.51,5.03,,0.4,,,0.17,0.586,0.40700000000000003,1.0,0.927,0.94,0.569,,0.1,0.0,,27 - 27,5.6,0.0,,0.364,0.22699999999999998,0.409,0.182,0.5,0.318,0.28600000000000003,0.195,,0.081,0.374,0.049,0.008,,,0.081,0.21100000000000002,,87.0,,81.8,95.1,91.0,80.5,,,94.0,84.8,,-2.2,,2.5,-1.8,1.2,-6.9,,,-7.0,2.2,,3.8,,-9.0,8.0,4.0,2.0,,,3.3,-1.4,,0.1,,0.9,0.7,-0.3,0.0,,,1.3,2.7,,0.4,,9.27,1.58,-5.58,2.99,,,13.44,10.4,,0.185,0.58,0.40700000000000003,0.9,0.95,0.94,0.561,,,200.0,72,60,159.0,213.0,230.0,181.0,1.48,105.0,64.0,288.0,90.0,65.0,165.0,112.0,98.0,97.0,86.9,10.6,2,0.091,109.0,8,0.364,22
6184,2021,J.D. Martinez,BOS,33,7,30,32,13,4,7,0,2,6,12,2,0,6,0,0,0,0,0,0,0.433,7,14,3,1,118,38,80,1,0,0,0.063,0.188,0.33,0.469,0.867,1.335,0.433,0.5,0.005,0.125,0.292,0.583,0.071,0.14300000000000002,0.14300000000000002,0.0,0.561,6.4,10,6.2,,1.0,-0.7,6.5,0.7,$5.3,1.4,260,1.0,-0.49,1.48,9.15,0.85,1.16,,0,0.47,0.38,0.483,93.0,0.195,82.1,0.085,87.2,0.085,80.3,0.153,83.7,,,,,,,4.4,0.9,-0.2,0.5,1.2,,,7.79,3.8,-2.01,5.13,6.84,,,0.391,0.898,0.602,0.556,0.75,0.6759999999999999,0.415,0.813,0.195,0.0,0.40700000000000003,,0.085,,,0.076,0.16899999999999998,0.11,,,0.153,,,,93.3,,87.2,,,91.3,83.9,78.0,,,83.7,,,-2.6,,0.4,,,-9.3,3.2,-3.1,,,0.7,,,10.9,,4.9,,,4.4,0.7,-2.4,,,6.5,,,3.4,,-0.2,,,1.0,0.3,1.0,,,1.2,,,7.07,,-2.01,,,11.62,1.27,7.92,,,6.79,,,0.32799999999999996,0.867,0.602,0.526,0.731,0.6759999999999999,0.508,,-0.7,0.0,,33 - 33,6.1,0.1,,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.16699999999999998,0.41700000000000004,0.41700000000000004,0.313,0.153,,0.085,0.373,0.085,,,,0.11,0.195,,84.3,,80.9,93.7,87.7,,,,93.0,82.7,,1.1,,-1.2,-1.0,1.2,,,,-9.8,2.4,,4.4,,-6.0,9.3,3.3,,,,4.3,-0.6,,1.2,,0.4,2.9,-0.2,,,,1.5,0.9,,6.79,,4.19,6.7,-2.01,,,,11.47,3.76,,0.33899999999999997,0.8640000000000001,0.602,0.5,0.745,0.6759999999999999,0.5,,,183.0,69,74,149.0,222.0,281.0,170.0,0.6,69.0,157.0,111.0,81.0,98.0,135.0,98.0,81.0,132.0,93.4,19.8,4,0.16699999999999998,112.3,12,0.5,24
9774,2021,Christian Vazquez,BOS,30,7,24,26,11,6,3,0,2,7,4,2,0,3,0,0,0,1,2,0,0.458,6,9,6,2,109,40,69,0,0,0,0.077,0.115,0.67,0.5,0.833,1.333,0.375,0.474,0.0067,0.28600000000000003,0.28600000000000003,0.429,0.222,0.222,0.0,0.0,0.564,5.3,8,5.1,0.2,0.8,0.3,6.8,0.7,$5.5,6.5,262,0.56,-0.43,0.99,3.2,0.3,1.19,4.87,1,0.36,0.11,0.56,93.0,0.11,86.1,0.147,85.7,0.10099999999999999,79.6,0.083,82.7,,,,,,,2.4,0.0,2.4,0.9,-0.9,,,3.87,-0.05,15.08,8.54,-9.84,,,0.317,0.5870000000000001,0.431,0.75,0.852,0.809,0.42200000000000004,0.5770000000000001,0.083,0.4,0.45899999999999996,,0.147,,,0.10099999999999999,0.128,0.083,,,0.083,,,,93.3,,85.7,,,91.2,85.8,78.4,,,82.7,,,-2.3,,0.9,,,-0.3,2.3,-1.6,,,3.6,,,10.6,,4.3,,,5.7,0.6,-4.6,,,7.1,,,1.7,,2.4,,,0.5,0.1,0.8,,,-0.9,,,3.44,,15.08,,,4.96,0.89,8.95,,,-9.84,,,0.276,0.608,0.431,0.75,0.8390000000000001,0.809,0.46799999999999997,,0.5,0.4,,30 - 30,5.4,0.1,,0.619,0.19,0.19,0.19,0.5710000000000001,0.23800000000000002,0.26899999999999996,0.083,,0.092,0.47700000000000004,0.147,,,,0.083,0.11900000000000001,,83.3,,79.5,93.6,86.3,,,,92.9,86.5,,3.5,,-0.4,-1.2,1.3,,,,-3.8,2.4,,5.0,,-6.9,8.9,2.7,,,,3.5,-0.7,,-0.9,,0.9,1.5,2.4,,,,0.8,0.0,,-9.84,,8.99,2.82,15.08,,,,8.88,0.24,,0.259,0.6,0.431,0.7859999999999999,0.818,0.809,0.505,,0.2,194.0,84,46,159.0,213.0,243.0,161.0,1.37,68.0,116.0,173.0,150.0,56.0,77.0,111.0,111.0,75.0,89.5,21.5,1,0.048,106.3,8,0.381,21
18401,2021,Ronald Acuna Jr.,ATL,23,7,28,30,11,4,4,0,3,5,6,2,0,6,0,0,0,0,2,0,0.393,9,7,6,0,115,50,65,1,0,0,0.067,0.2,0.33,0.433,0.857,1.29,0.464,0.421,0.0129,0.273,0.409,0.318,0.0,0.429,0.111,0.0,0.54,5.5,9,5.4,,0.9,-0.3,6.4,0.7,$5.2,5.2,247,0.53,-0.53,1.07,5.5,0.57,1.23,,0,0.45,-0.02,0.617,94.5,0.078,89.2,0.017,88.5,0.043,78.8,0.174,86.1,0.07,83.5,,,,,-0.8,2.9,0.9,0.7,1.6,0.2,,-1.17,32.18,47.4,14.48,8.11,2.38,,0.17600000000000002,0.745,0.409,0.833,0.8859999999999999,0.872,0.409,0.467,0.052000000000000005,0.4,0.409,,0.017,0.07,,0.209,0.078,0.035,0.009000000000000001,,0.174,,,,94.6,,88.7,83.6,,93.8,89.2,79.3,76.6,,86.1,,,-5.7,,-0.4,-6.3,,-9.4,1.2,5.0,8.0,,-4.8,,,9.7,,5.0,2.1,,6.9,3.0,-5.2,-8.0,,3.4,,,0.6,,0.9,0.2,,-1.5,2.9,-0.1,0.8,,1.6,,,1.37,,47.4,2.38,,-6.15,32.18,-1.31,77.64,,8.11,,,0.109,0.6829999999999999,0.409,0.833,0.878,0.872,0.522,,-0.3,0.4,,23 - 23,5.7,0.0,,0.455,0.409,0.136,0.045,0.409,0.545,0.36700000000000005,0.165,,0.021,0.423,0.021,0.08199999999999999,,,0.196,0.09300000000000001,,85.3,,76.4,94.7,88.3,83.4,,,93.8,89.0,,-3.4,,2.2,-5.2,0.8,-4.6,,,-8.5,2.1,,1.6,,-8.4,8.3,3.1,-0.6,,,4.5,1.2,,1.3,,0.7,0.3,0.9,0.2,,,-0.6,2.9,,8.07,,36.61,0.63,47.4,2.38,,,-3.21,32.18,,0.1,0.667,0.433,0.75,0.868,0.857,0.588,,,171.0,67,85,137.0,216.0,278.0,153.0,1.27,95.0,90.0,308.0,112.0,118.0,55.0,28.0,80.0,166.0,99.0,10.7,3,0.136,114.1,16,0.727,22
10030,2021,Chris Owings,COL,29,7,15,17,8,2,3,3,0,6,3,2,0,2,0,0,0,0,2,0,0.533,5,5,3,0,65,27,38,1,0,0,0.11800000000000001,0.11800000000000001,1.0,0.588,1.133,1.722,0.6,0.615,0.01,0.231,0.385,0.385,0.0,0.0,0.2,0.0,0.693,5.2,7,4.9,,0.5,0.0,5.8,0.6,$4.7,10.0,334,0.38,-0.24,0.62,5.48,0.5,1.02,1.6,2,0.48,-0.11,0.49200000000000005,92.0,0.292,85.2,0.10800000000000001,86.0,0.077,79.6,0.031,87.0,,,,,,,4.5,1.5,-0.4,0.7,-0.3,,,14.05,7.82,-5.37,14.2,-15.26,,,0.2,0.76,0.415,0.75,0.8420000000000001,0.815,0.385,0.47100000000000003,0.077,0.4,0.462,,0.185,,,0.031,0.185,0.092,0.015,,0.031,,,,91.9,,85.7,,,92.2,85.9,79.1,84.2,,87.2,,,0.0,,1.1,,,2.7,3.4,-2.2,5.8,,7.0,,,8.4,,2.1,,,6.5,0.5,-0.9,-7.3,,3.5,,,5.1,,-0.5,,,-0.6,1.7,0.6,0.0,,-0.3,,,16.99,,-3.85,,,-30.09,14.02,9.29,3.91,,-15.26,,,0.20600000000000002,0.645,0.415,0.7140000000000001,0.85,0.815,0.47700000000000004,,0.0,0.4,,29 - 29,5.2,0.0,,0.462,0.308,0.231,0.077,0.385,0.5379999999999999,0.235,0.031,,0.062,0.431,0.185,,,,0.062,0.231,,87.5,,79.3,92.1,86.0,,,,93.5,85.2,,6.8,,-0.8,-0.4,1.1,,,,4.7,2.6,,2.8,,-4.5,8.1,1.8,,,,6.1,0.3,,-0.3,,0.8,5.0,-0.5,,,,-0.5,1.5,,-15.26,,19.41,17.87,-3.85,,,,-12.68,10.02,,0.235,0.613,0.415,0.75,0.8420000000000001,0.815,0.47700000000000004,,,232.0,118,50,187.0,285.0,359.0,223.0,1.08,89.0,109.0,0.0,114.0,88.0,93.0,47.0,76.0,164.0,94.2,12.8,2,0.154,105.8,8,0.615,13
