posName,posnum,lastname,position,status_code,bats,throws,Name,Team,PA,AB,R,H,dbls,trps,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,wOBA,wRAA,RAR,WAR,Fld,SOperc
Sergio Alcantara,51,Alcantara,SS,A,S,R,Sergio Alcantara,CHC,118,103,14,17,4,3,2,6,12,33,1,0,0.165,0.256,0.32,0.255,-5.7,-1.6,-0.2,0.0,32.0
Adbert Alzolay,73,Alzolay,P,A,R,R,Adbert Alzolay,CHC,30,29,1,1,0,0,0,0,1,12,0,0,0.034,0.067,0.034,0.052,-6.4,-2.0,-0.2,,41.4
Jake Arrieta,49,Arrieta,P,A,R,R,Jake Arrieta,CHC,25,20,2,2,0,0,0,0,2,15,0,0,0.1,0.217,0.1,0.168,-3.0,0.7,0.1,,75.0
David Bote,13,Bote,2B,A,R,R,David Bote,CHC,210,187,21,39,9,0,6,29,17,43,0,1,0.209,0.282,0.353,0.28,-5.8,-1.0,-0.1,0.1,23.0
Rex Brothers,48,Brothers,P,A,L,L,Rex Brothers,CHC,1,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,-0.3,-0.1,0.0,,100.0
Robinson Chirinos,29,Chirinos,C,A,R,R,Robinson Chirinos,CHC,37,32,4,7,1,0,3,4,5,11,0,0,0.219,0.324,0.531,0.363,1.5,1.4,0.1,-1.1,34.4
Willson Contreras,40,Contreras,C,A,R,R,Willson Contreras,CHC,392,335,47,77,14,0,17,40,43,112,4,4,0.23,0.337,0.424,0.333,6.2,18.3,1.8,-1.9,33.4
Zach Davies,27,Davies,P,A,R,R,Zach Davies,CHC,35,27,1,4,0,0,0,2,0,7,0,0,0.148,0.148,0.148,0.131,-5.3,-0.1,0.0,,25.9
Greg Deichmann,6,Deichmann,OF,A,L,R,Greg Deichmann,CHC,5,5,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.176,-0.6,-0.5,0.0,,0.0
Matt Duffy,5,Duffy,3B,A,R,R,Matt Duffy,CHC,144,125,19,30,4,0,1,12,14,26,4,1,0.24,0.333,0.296,0.289,-2.9,1.2,0.1,1.3,20.8
Johneshwy Fargas,4,Fargas,CF,A,R,R,Johneshwy Fargas,- - -,32,30,2,9,3,1,0,3,1,9,1,2,0.3,0.323,0.467,0.336,0.6,0.2,0.0,0.1,30.0
Ian Happ,8,Happ,CF,A,S,R,Ian Happ,CHC,337,289,33,52,10,0,11,28,43,100,1,1,0.18,0.293,0.329,0.28,-9.1,-3.9,-0.4,-1.8,34.6
Kyle Hendricks,28,Hendricks,P,A,R,R,Kyle Hendricks,CHC,46,40,3,3,1,0,0,1,1,20,0,0,0.075,0.098,0.1,0.09,-8.4,-1.7,-0.2,,50.0
Jason Heyward,22,Heyward,RF,D10,L,L,Jason Heyward,CHC,284,258,28,51,12,1,6,22,24,58,5,0,0.198,0.271,0.322,0.264,-11.6,1.1,0.1,6.4,22.5
Nico Hoerner,2,Hoerner,2B,D10,R,R,Nico Hoerner,CHC,152,134,13,42,10,0,0,14,15,23,3,2,0.313,0.388,0.388,0.341,3.4,8.8,0.9,1.3,17.2
Alec Mills,30,Mills,P,A,R,R,Alec Mills,CHC,20,19,1,1,1,0,0,0,0,14,0,0,0.053,0.053,0.105,0.066,-4.1,-1.1,-0.1,,73.7
Rafael Ortega,66,Ortega,RF,A,L,R,Rafael Ortega,CHC,144,131,18,41,7,1,6,16,11,37,5,5,0.313,0.371,0.519,0.379,7.8,10.1,1.0,-0.3,28.2
Andrew Romine,24,Romine,2B,A,S,R,Andrew Romine,CHC,19,19,5,7,1,0,1,4,0,4,0,0,0.368,0.368,0.579,0.404,1.4,2.8,0.3,0.8,21.1
Kyle Ryan,56,Ryan,P,A,L,L,Kyle Ryan,CHC,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.5,-0.2,0.0,,0.0
Frank Schwindel,18,Schwindel,1B,A,R,R,Frank Schwindel,- - -,42,41,4,10,2,0,2,6,1,8,0,0,0.244,0.262,0.439,0.298,-0.5,-0.2,0.0,,19.5
Dan Winkler,43,Winkler,P,A,R,R,Dan Winkler,CHC,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.3,-0.1,0.0,,0.0
Patrick Wisdom,16,Wisdom,3B,A,R,R,Patrick Wisdom,CHC,204,186,31,49,6,0,16,32,16,78,3,1,0.263,0.325,0.554,0.37,9.4,15.6,1.6,0.4,41.9
