Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Apr 7",CHC,Home,MIL,W,5.0,4.0,9.0,1-0,1.0,Tied,Givens,Ashby,Robertson,3:18,D,35112.0,1.01,1.0,
"Saturday, Apr 9",CHC,Home,MIL,W,9.0,0.0,9.0,2-0,1.0,Tied,Steele,Woodruff,None,3:28,D,30369.0,1.03,2.0,
"Sunday, Apr 10",CHC,Home,MIL,L,4.0,5.0,9.0,2-1,1.0,Tied,Cousins,Norris,Hader,3:03,D,32858.0,1.08,-1.0,
"Tuesday, Apr 12",CHC,@,PIT,W,2.0,1.0,9.0,3-1,1.0,Tied,Smyly,Quintana,Robertson,2:51,D,34458.0,1.05,1.0,
"Wednesday, Apr 13",CHC,@,PIT,L,2.0,6.0,9.0,3-2,2.0,0.5,Peters,Hendricks,Crowe,2:49,D,9122.0,1.10,-1.0,
"Thursday, Apr 14",CHC,@,COL,W,5.0,2.0,9.0,4-2,1.0,up 0.5,Thompson,Freeland,Givens,3:02,N,24444.0,1.01,1.0,
"Friday, Apr 15",CHC,@,COL,L,5.0,6.0,9.0,4-3,2.0,0.5,Blach,Stroman,Bard,3:26,N,35450.0,1.09,-1.0,
"Saturday, Apr 16",CHC,@,COL,L,6.0,9.0,9.0,4-4,2.0,1.5,Senzatela,Leiter,Bard,2:58,N,37476.0,1.03,-2.0,
"Sunday, Apr 17",CHC,@,COL,W,6.0,4.0,9.0,5-4,2.0,0.5,Wick,Gomber,Robertson,3:19,D,36391.0,1.00,1.0,
"Monday, Apr 18",CHC,Home,TBR,W,4.0,2.0,9.0,6-4,1.0,Tied,Thompson,Adam,Robertson,2:43,N,26615.0,.94,2.0,
"Tuesday, Apr 19",CHC,Home,TBR,,,,,,,,,,,,,,,,
"Wednesday, Apr 20",CHC,Home,TBR,,,,,,,,,,,,,,,,
"Thursday, Apr 21",CHC,Home,PIT,,,,,,,,,,,,,,,,
"Friday, Apr 22",CHC,Home,PIT,,,,,,,,,,,,,,,,
"Saturday, Apr 23",CHC,Home,PIT,,,,,,,,,,,,,,,,
"Sunday, Apr 24",CHC,Home,PIT,,,,,,,,,,,,,,,,
"Tuesday, Apr 26",CHC,@,ATL,,,,,,,,,,,,,,,,
"Wednesday, Apr 27",CHC,@,ATL,,,,,,,,,,,,,,,,
"Thursday, Apr 28",CHC,@,ATL,,,,,,,,,,,,,,,,
"Friday, Apr 29",CHC,@,MIL,,,,,,,,,,,,,,,,
"Saturday, Apr 30",CHC,@,MIL,,,,,,,,,,,,,,,,
"Sunday, May 1",CHC,@,MIL,,,,,,,,,,,,,,,,
"Tuesday, May 3",CHC,Home,CHW,,,,,,,,,,,,,,,,
"Wednesday, May 4",CHC,Home,CHW,,,,,,,,,,,,,,,,
"Friday, May 6",CHC,Home,LAD,,,,,,,,,,,,,,,,
"Saturday, May 7",CHC,Home,LAD,,,,,,,,,,,,,,,,
"Sunday, May 8",CHC,Home,LAD,,,,,,,,,,,,,,,,
"Monday, May 9",CHC,@,SDP,,,,,,,,,,,,,,,,
"Tuesday, May 10",CHC,@,SDP,,,,,,,,,,,,,,,,
"Wednesday, May 11",CHC,@,SDP,,,,,,,,,,,,,,,,
"Friday, May 13",CHC,@,ARI,,,,,,,,,,,,,,,,
"Saturday, May 14",CHC,@,ARI,,,,,,,,,,,,,,,,
"Sunday, May 15",CHC,@,ARI,,,,,,,,,,,,,,,,
"Monday, May 16",CHC,Home,PIT,,,,,,,,,,,,,,,,
"Tuesday, May 17",CHC,Home,PIT,,,,,,,,,,,,,,,,
"Wednesday, May 18",CHC,Home,PIT,,,,,,,,,,,,,,,,
"Thursday, May 19",CHC,Home,ARI,,,,,,,,,,,,,,,,
"Friday, May 20",CHC,Home,ARI,,,,,,,,,,,,,,,,
"Saturday, May 21",CHC,Home,ARI,,,,,,,,,,,,,,,,
