posName,posnum,position
Eddie Butler,33,Pitcher
Tyler Chatwood,21,Pitcher
Steve Cishek,41,Pitcher
Yu Darvish,11,Pitcher
Brian Duensing,32,Pitcher
Carl Edwards Jr.,6,Pitcher
Kyle Hendricks,28,Pitcher
Jon Lester,34,Pitcher
Mike Montgomery,38,Pitcher
Brandon Morrow,15,Pitcher
Jose Quintana,62,Pitcher
Pedro Strop,46,Pitcher
Justin Wilson,37,Pitcher
Victor Caratini,7,Catcher
Willson Contreras,40,Catcher
Javier Baez,9,Second base
Kris Bryant,17,Third base
Tommy La Stella,2,Infield
Addison Russell,27,Shortstop
Ben Zobrist,18,Infield
Anthony Rizzo,44,First base
Albert Almora Jr.,5,Outfield
Ian Happ,8,Outfield
Jason Heyward,22,Outfield
Kyle Schwarber,12,Outfield
Efren Navarro,61,First base
