Tm,W,L,WLperc,GB,Minnesota Twins,5,2,.714,--,Houston Astros,6,.750,Philadelphia Phillies,Cincinnati Reds,1,.857,Los Angeles Dodgers
Baltimore Orioles,4,3,.571,--,,,,,,,,,,,,,
Boston Red Sox,4,3,.571,--,,,,,,,,,,,,,
New York Yankees,3,4,.429,1.0,,,,,,,,,,,,,
Tampa Bay Rays,3,4,.429,1.0,,,,,,,,,,,,,
Toronto Blue Jays,3,5,.375,1.5,,,,,,,,,,,,,
,,,,,Minnesota Twins,5,2,.714,--,,,,,,,,
,,,,,Chicago White Sox,4,4,.500,1.5,,,,,,,,
,,,,,Cleveland Indians,3,3,.500,1.5,,,,,,,,
,,,,,Kansas City Royals,3,3,.500,1.5,,,,,,,,
,,,,,Detroit Tigers,3,4,.429,2.0,,,,,,,,
,,,,,,,2,,--,Houston Astros,6,.750,,,,,
,,,,,,,2,,--,Los Angeles Angels,6,.750,,,,,
,,,,,,,4,,2.5,Seattle Mariners,3,.429,,,,,
,,,,,,,4,,2.5,Texas Rangers,3,.429,,,,,
,,,,,,,7,,4.5,Oakland Athletics,2,.222,,,,,
,,,,,,5,2,.714,--,,,,Philadelphia Phillies,,,,
,,,,,,2,2,.500,1.5,,,,New York Mets,,,,
,,,,,,3,4,.429,2.0,,,,Atlanta Braves,,,,
,,,,,,1,3,.250,2.5,,,,Washington Nationals,,,,
,,,,,,1,6,.143,4.0,,,,Miami Marlins,,,,
,,,,,,,,,--,,6,,,Cincinnati Reds,1,.857,
,,,,,,,,,1.0,,5,,,St. Louis Cardinals,2,.714,
,,,,,,,,,2.0,,4,,,Chicago Cubs,3,.571,
,,,,,,,,,3.0,,3,,,Milwaukee Brewers,4,.429,
,,,,,,,,,5.0,,1,,,Pittsburgh Pirates,6,.143,
,,,,,,,2,,--,,6,.750,,,,,Los Angeles Dodgers
,,,,,,,3,,1.0,,5,.625,,,,,San Diego Padres
,,,,,,,3,,1.5,,4,.571,,,,,San Francisco Giants
,,,,,,,5,,3.0,,3,.375,,,,,Colorado Rockies
,,,,,,,6,,4.0,,2,.250,,,,,Arizona Diamondbacks
