bats,birth_date,college,end_date,height_feet,height_inches,jersey_number,name_display_first_last,name_display_last_first,name_first,name_full,name_last,name_use,player_id,position_txt,primary_position,pro_debut_date,start_date,starter_sw,status_code,team_abbrev,team_code,team_id,team_name,throws,weight
R,1987-01-29T00:00:00,,,6,3,79,Jose Abreu,"Abreu, Jose",Jose,"Abreu, Jose",Abreu,Jose,547989,1B,3,2014-03-31T00:00:00,2013-10-29T00:00:00,N,A,CWS,cha,145,Chicago White Sox,R,255
R,1996-09-11T00:00:00,,,6,3,,Micker Adolfo,"Adolfo, Micker",Micker,"Adolfo, Micker",Adolfo,Micker,650520,RF,9,,2017-11-20T00:00:00,N,A,CWS,cha,145,Chicago White Sox,R,200
R,1993-06-23T00:00:00,"East Central CC, MS",,6,1,7,Tim Anderson,"Anderson, Tim",Timothy,"Anderson, Tim",Anderson,Tim,641313,SS,6,2016-06-10T00:00:00,2016-06-10T00:00:00,N,A,CWS,cha,145,Chicago White Sox,R,185
L,1989-07-19T00:00:00,,,6,2,,Luis Avilan,"Avilan, Luis",Luis,"Avilan, Luis",Avilan,Luis,501593,P,1,2012-07-14T00:00:00,2018-01-04T00:00:00,N,A,CWS,cha,145,Chicago White Sox,L,225
S,1996-08-26T00:00:00,,,6,0,,Luis Alexander Basabe,"Basabe, Luis Alexander",Luis,"Basabe, Luis Alexander",Basabe,Luis Alexander,642772,CF,8,,2017-11-20T00:00:00,N,A,CWS,cha,145,Chicago White Sox,R,160
L,1993-09-21T00:00:00,Nebraska,,6,3,70,Aaron Bummer,"Bummer, Aaron",Aaron,"Bummer, Aaron",Bummer,Aaron,607481,P,1,2017-07-27T00:00:00,2017-07-27T00:00:00,N,A,CWS,cha,145,Chicago White Sox,L,200
R,1987-04-24T00:00:00,,,5,10,,Welington Castillo,"Castillo, Welington",Welington,"Castillo, Welington",Castillo,Welington,456078,C,2,2010-08-11T00:00:00,2017-12-01T00:00:00,N,A,CWS,cha,145,Chicago White Sox,R,220
L,1995-02-14T00:00:00,,,6,2,,Ian Clarkin,"Clarkin, Ian",Ian,"Clarkin, Ian",Clarkin,Ian,624420,P,1,,2017-11-20T00:00:00,N,A,CWS,cha,145,Chicago White Sox,L,215
R,1992-03-31T00:00:00,Liberty University,,6,4,,Ryan Cordell,"Cordell, Ryan",Ryan,"Cordell, Ryan",Cordell,Ryan,641477,OF,O,,2017-07-26T00:00:00,N,A,CWS,cha,145,Chicago White Sox,R,195
R,1991-08-14T00:00:00,San Diego,,6,2,68,Dylan Covey,"Covey, Dylan",Dylan,"Covey, Dylan",Covey,Dylan,592229,P,1,2017-04-14T00:00:00,2016-12-08T00:00:00,N,A,CWS,cha,145,Chicago White Sox,R,195
R,1991-03-26T00:00:00,,,6,3,24,Matt Davidson,"Davidson, Matt",Matthew,"Davidson, Matt",Davidson,Matt,571602,DH,D,2013-08-11T00:00:00,2013-12-16T00:00:00,N,A,CWS,cha,145,Chicago White Sox,R,230
