teamID,Wins,Loses,AvgRuns,AvgRunsAg,Team,Tm,League,Division,color,tres
BAL,1,2,4.67,6.67,Orioles,Baltimore Orioles,American,East,#8FBC8B,BAL
CIN,2,1,8.33,4.33,Reds,Cincinnati Reds,National,Central,#8FBC8B,CIN
CLE,4,2,4.33,2.17,Guardians,Cleveland Guardians,American,Central,#E31937,CLE
DET,1,3,5.5,5.75,Tigers,Detroit Tigers,American,Central,#FF8B00,DET
HOU,3,4,3.29,3.86,Astros,Houston Astros,American,West,#8FBC8B,HOU
KCR,4,3,3.57,4.29,Royals,Kansas City Royals,American,Central,#788DF0,KCR
LAA,0,1,4.0,6.0,Angels,Los Angeles Angels,American,West,#8FBC8B,LAA
MIN,3,3,3.33,3.83,Twins,Minnesota Twins,American,Central,#B9975B,MIN
PHI,1,2,3.0,4.0,Phillies,Philadelphia Phillies,National,East,#8FBC8B,PHI
PIT,1,2,6.67,6.33,Pirates,Pittsburgh Pirates,National,Central,#8FBC8B,PIT
SFG,1,2,5.33,10.33,Giants,San Francisco Giants,National,West,#8FBC8B,SFG
TBR,1,6,4.71,7.71,Rays,Tampa Bay Rays,American,East,#8FBC8B,TBR
TOR,0,3,0.67,6.67,Blue Jays,Toronto Blue Jays,American,East,#8FBC8B,TOR
