posName,posnum,lastname,position,status_code,bats,throws,Name,Team,W,L,ERA,WAR,G,GS,CG,ShO,SV,BS,IP,H,R,ER,HR,BB,HBP,WP,BK,SO,IFFB,Balls,Strikes,Pitches,RS,AVG,WHIP,BABIP,FIP,WPA,RAR,K9,BB9,Kperc,BBperc,LOBperc,FStrikeperc,FAperc,FTperc,FCperc,FSperc,FOperc,SIperc,SLperc,CUperc,KCperc,EPperc,CHperc,SCperc,KNperc,UNperc,avgIP
Aaron Bummer,39,Bummer,P,A,L,L,Aaron Bummer,CHW,0,1,2.08,0.1,11,0,0,0,0,2,8.2,9,4,2,0,6,1,0,0,11,0.0,71,102,173,0.0,0.257,1.73,0.375,2.99,-0.64,1.2,11.42,6.23,26.2,14.3,75.0,47.6,,,10.4,,,73.4,16.2,,,,,,,,0.7
Dylan Cease,84,Cease,P,A,R,R,Dylan Cease,CHW,2,0,2.37,0.9,6,6,1,1,0,0,30.1,22,8,8,2,15,0,2,1,40,3.0,208,328,536,30.0,0.2,1.22,0.294,2.81,0.44,7.9,11.87,4.45,32.0,12.0,84.8,48.0,53.9,,,,,,28.7,,9.7,,7.6,,,,5.0
Garrett Crochet,45,Crochet,P,D10,L,L,Garrett Crochet,CHW,0,2,1.0,0.1,8,0,0,0,0,0,9.0,9,4,1,0,5,1,1,0,8,1.0,63,93,156,3.0,0.243,1.56,0.31,3.33,-0.17,1.3,8.0,5.0,18.6,11.6,73.3,58.1,69.2,,,,,,18.6,,,,12.2,,,,1.1
Matt Foster,63,Foster,P,A,R,R,Matt Foster,CHW,1,1,9.72,0.0,10,0,0,0,0,1,8.1,8,9,9,2,3,1,0,0,14,1.0,61,107,168,0.0,0.242,1.32,0.353,4.31,-0.69,0.1,15.12,3.24,37.8,8.1,32.6,62.2,56.5,,,,,,4.8,,,,38.7,,,,0.8
Lucas Giolito,27,Giolito,P,A,R,R,Lucas Giolito,CHW,1,3,4.99,0.3,6,6,0,0,0,0,30.2,27,19,17,6,13,0,1,0,41,3.0,184,371,555,11.0,0.223,1.3,0.284,4.25,-0.29,3.3,12.03,3.82,30.6,9.7,66.5,62.7,49.7,,,,,,14.8,,,,35.5,,,,5.0
Liam Hendriks,31,Hendriks,P,A,R,R,Liam Hendriks,CHW,1,0,3.97,-0.1,11,0,0,0,5,2,11.1,7,5,5,4,1,0,0,0,19,1.0,53,127,180,7.0,0.171,0.71,0.167,4.61,0.37,-0.5,15.09,0.79,45.2,2.4,100.0,73.8,77.2,,,,,,15.0,7.2,,,0.6,,,,1.0
Codi Heuer,65,Heuer,P,A,R,R,Codi Heuer,CHW,2,1,6.08,0.1,11,0,0,0,0,0,13.1,21,9,9,3,1,0,0,0,16,1.0,61,141,202,9.0,0.368,1.65,0.474,3.86,0.48,0.8,10.8,0.68,27.6,1.7,73.0,50.0,,,,,,58.9,24.3,,,,16.8,,,,1.2
Dallas Keuchel,60,Keuchel,P,A,L,L,Dallas Keuchel,CHW,1,1,4.65,0.2,6,6,0,0,0,0,31.0,30,18,16,3,11,1,0,0,16,3.0,181,294,475,21.0,0.252,1.32,0.27,4.5,-0.19,2.4,4.65,3.19,12.2,8.4,63.5,58.0,1.9,,18.9,,,40.0,6.5,,,,32.6,,,,5.2
Michael Kopech,34,Kopech,P,A,R,R,Michael Kopech,CHW,2,0,1.45,0.9,7,2,0,0,0,0,18.2,8,3,3,1,4,0,1,0,30,3.0,102,196,298,12.0,0.125,0.64,0.212,1.23,0.57,7.7,14.46,1.93,44.1,5.9,84.9,67.6,63.1,,,,,,23.2,8.7,,,5.0,,,,2.6
Lance Lynn,33,Lynn,P,A,S,R,Lance Lynn,CHW,2,1,1.82,0.9,4,4,1,1,0,0,24.2,20,7,5,2,4,0,0,0,29,2.0,119,252,371,16.0,0.215,0.97,0.29,2.3,0.32,7.5,10.58,1.46,29.9,4.1,80.2,64.9,48.5,,25.3,,,23.2,,3.0,,,,,,,6.0
Evan Marshall,43,Marshall,P,A,R,R,Evan Marshall,CHW,0,1,6.75,-0.2,10,0,0,0,0,2,12.0,13,9,9,3,3,0,0,0,8,2.0,63,105,168,3.0,0.265,1.33,0.263,5.78,-0.34,-2.2,6.0,2.25,15.4,5.8,59.3,53.8,23.2,,,,,13.7,,26.2,,,36.9,,,,1.2
Alex McRae,64,McRae,P,A,R,R,Alex McRae,CHW,0,0,0.0,0.0,1,0,0,0,0,0,1.0,0,0,0,0,1,0,0,0,1,1.0,7,9,16,0.0,0.0,1.0,0.0,4.11,0.0,0.1,9.0,9.0,25.0,25.0,100.0,100.0,31.3,,,,,31.3,,12.5,,,25.0,,,,1.0
Danny Mendick,20,Mendick,SS,A,R,R,Danny Mendick,CHW,0,0,0.0,0.0,1,0,0,0,0,0,1.0,1,0,0,0,0,1,0,0,1,0.0,3,12,15,0.0,0.25,1.0,0.333,4.11,0.0,0.0,9.0,0.0,20.0,0.0,100.0,60.0,,,,,,,,,,20.0,,,80.0,,1.0
Yermin Mercedes,73,Mercedes,1B,A,R,R,Yermin Mercedes,CHW,0,0,9.0,0.0,1,0,0,0,0,0,1.0,3,1,1,0,2,0,0,0,0,0.0,16,16,32,0.0,0.6,5.0,0.6,9.11,0.0,-0.3,0.0,18.0,0.0,28.6,80.0,28.6,93.8,,,,,,,6.3,,,,,,,1.0
Carlos Rodon,55,Rodon,P,A,L,L,Carlos Rodon,CHW,4,0,0.72,0.9,4,4,1,1,0,0,25.0,7,3,2,1,9,3,1,0,36,2.0,147,268,415,24.0,0.084,0.64,0.13,2.19,0.58,8.0,12.96,3.24,37.9,9.5,90.9,60.0,54.9,,,,,,25.3,3.4,,,16.4,,,,6.2
Jose Ruiz,66,Ruiz,P,A,R,R,Jose Ruiz,CHW,0,1,1.59,0.2,10,0,0,0,0,0,11.1,4,2,2,0,5,0,1,1,11,1.0,65,125,190,5.0,0.103,0.79,0.143,2.49,-0.08,1.5,8.74,3.97,25.0,11.4,77.8,56.8,59.5,,,,,,3.7,32.1,,,4.7,,,,1.1
