Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Friday, Apr 8",CHW,@,DET,L-wo,4.0,5.0,9.0,0-1,3.0,1.0,Soto,Hendriks,None,3:30,D,43480.0,-,,
"Saturday, Apr 9",CHW,@,DET,W,5.0,2.0,9.0,1-1,2.0,1.0,Cease,Mize,Bummer,3:11,D,17469.0,.96,1.0,
"Sunday, Apr 10",CHW,@,DET,W,10.0,1.0,9.0,2-1,1.0,Tied,Crick,Skubal,None,2:56,D,15712.0,1.01,2.0,
"Tuesday, Apr 12",CHW,Home,SEA,W,3.0,2.0,9.0,3-1,1.0,up 0.5,Lopez,Brash,Hendriks,3:22,D,36948.0,1.03,3.0,
"Wednesday, Apr 13",CHW,Home,SEA,W,6.0,4.0,9.0,4-1,1.0,up 0.5,Keuchel,Ray,Hendriks,2:54,N,12291.0,1.06,4.0,
"Thursday, Apr 14",CHW,Home,SEA,L,1.0,5.0,9.0,4-2,1.0,Tied,Gilbert,Lambert,None,3:01,D,13391.0,1.10,-1.0,
"Friday, Apr 15",CHW,Home,TBR,W,3.0,2.0,9.0,5-2,1.0,up 1.0,Cease,Rasmussen,Hendriks,2:51,N,19009.0,1.06,1.0,
"Saturday, Apr 16",CHW,Home,TBR,W,3.0,2.0,9.0,6-2,1.0,up 2.0,Lopez,Thompson,Hendriks,2:50,D,27113.0,1.11,2.0,
"Sunday, Apr 17",CHW,Home,TBR,L,3.0,9.0,9.0,6-3,1.0,up 2.0,Mazza,Velasquez,None,3:35,D,17798.0,1.13,-1.0,
"Wednesday, Apr 20 (1)",CHW,@,CLE,L,1.0,11.0,9.0,6-4,1.0,Tied,Bieber,Keuchel,None,2:41,D,,1.20,-2.0,
"Wednesday, Apr 20 (2)",CHW,@,CLE,L,1.0,2.0,9.0,6-5,1.0,Tied,Gose,Lambert,Clase,3:01,D,9196.0,1.17,-3.0,
"Thursday, Apr 21",CHW,@,CLE,L,3.0,6.0,9.0,6-6,2.0,1.0,Plesac,Cease,Clase,3:07,D,8345.0,1.13,-4.0,
"Friday, Apr 22",CHW,@,MIN,L,1.0,2.0,9.0,6-7,2.0,1.0,Duffey,Graveman,Pagan,3:04,N,14257.0,1.03,-5.0,
"Saturday, Apr 23",CHW,@,MIN,L,2.0,9.0,9.0,6-8,3.0,1.0,Bundy,Velasquez,None,3:32,D,16686.0,1.00,-6.0,
"Sunday, Apr 24",CHW,@,MIN,L-wo,4.0,6.0,10.0,6-9,3.0,1.5,Smith,Hendriks,None,3:50,D,16197.0,1.00,-7.0,
"Tuesday, Apr 26",CHW,Home,KCR,L,0.0,6.0,9.0,6-10,4.0,2.5,Lynch,Keuchel,None,3:20,N,12031.0,.93,-8.0,
"Wednesday, Apr 27",CHW,Home,KCR,W,7.0,3.0,9.0,7-10,2.0,2.5,Sousa,Snider,Graveman,2:42,D,12363.0,.87,1.0,
"Thursday, Apr 28",CHW,Home,KCR,L,2.0,5.0,10.0,7-11,3.0,3.5,Barlow,Bummer,Clarke,3:20,D,11242.0,.92,-1.0,
"Friday, Apr 29",CHW,Home,LAA,L,1.0,5.0,9.0,7-12,4.0,3.5,Warren,Giolito,Iglesias,3:19,N,23709.0,.82,-2.0,
"Saturday, Apr 30",CHW,Home,LAA,W,4.0,0.0,9.0,8-12,3.0,3.5,Velasquez,Suarez,None,2:55,D,33762.0,.77,1.0,
"Sunday, May 1",CHW,Home,LAA,L,5.0,6.0,9.0,8-13,3.0,4.5,Lorenzen,Keuchel,Tepera,3:15,D,27664.0,.82,-1.0,
"Monday, May 2",CHW,Home,LAA,W,3.0,0.0,9.0,9-13,3.0,4.5,Cease,Sandoval,Hendriks,2:39,D,13112.0,.74,1.0,
"Tuesday, May 3",CHW,@,CHC,W,3.0,1.0,9.0,10-13,3.0,4.5,Lopez,Effross,Hendriks,3:01,N,34206.0,.74,2.0,
"Wednesday, May 4",CHW,@,CHC,W,4.0,3.0,9.0,11-13,2.0,3.5,Giolito,Hendricks,Hendriks,3:05,N,36755.0,.79,3.0,
