posName,posnum,position
Luis Avilan,70,pitcher
Aaron Bummer,39,pitcher
Danny Farquhar,43,pitcher
Carson Fulmer,51,pitcher
Lucas Giolito,27,pitcher
Miguel Gonzalez,58,pitcher
Nate Jones,65,pitcher
Reynaldo Lopez,40,pitcher
Bruce Rondon,44,pitcher
Hector Santiago,53,pitcher
James Shields,33,pitcher
Joakim Soria,48,pitcher
Chris Volstad,66,pitcher
Welington Castillo,21,Catcher
Omar Narvaez,38,Catcher
Jose Abreu,79,First base
Tim Anderson,7,Short stop
Yoan Moncada,10,Second base
Tyler Saladino,20,Infield
Yolmer Sanchez,5,Third base
Nick Delmonico,30,Outfield
Adam Engel,15,Outfield
Avisail Garcia,26,Outfield
Leury Garcia,28,Outfield
Matt Davidson,24,DH
