Tm,W,L,WLperc,GB,E#,Team_x,League,Division,color,tres,Team_y,R,RBI,HR,AVGbat,OBP,SLG,wOBA,wRCplus,WARbat,Team,ERA,SV,IP,BABIP,FIP,xFIP,WARpitch
Tampa Bay Rays,70,45,.609,--,--,Rays,American,East,#8FBC8B,TBR,TBR,594,562,153,0.236,0.318,0.415,0.317,105,19.4,TBR,3.72,29,1035.0,0.284,3.75,3.92,14.0
Boston Red Sox,66,51,.564,5.0,42,Red Sox,American,East,#8FBC8B,BOS,BOS,576,543,144,0.258,0.322,0.437,0.326,103,16.8,BOS,4.37,36,1021.1,0.324,3.97,4.1,13.9
New York Yankees,63,52,.548,7.0,41,Yankees,American,East,#8FBC8B,NYY,NYY,487,451,141,0.237,0.325,0.393,0.315,100,13.3,NYY,3.73,32,1019.0,0.278,3.82,4.02,16.8
Toronto Blue Jays,62,52,.544,7.5,41,Blue Jays,American,East,#8FBC8B,TOR,TOR,591,568,173,0.265,0.328,0.458,0.337,112,19.2,TOR,3.86,20,982.2,0.285,4.18,4.1,7.7
Baltimore Orioles,38,75,.336,31.0,18,Orioles,American,East,#8FBC8B,BAL,BAL,468,448,135,0.24,0.303,0.403,0.306,94,8.8,BAL,5.66,18,978.1,0.312,4.87,4.73,6.8
Chicago White Sox,68,48,.586,--,--,White Sox,American,Central,#000000,CHW,CHW,577,546,137,0.249,0.331,0.418,0.326,109,19.3,CHW,3.63,29,1002.1,0.281,3.81,3.82,18.0
Detroit Tigers,57,60,.487,11.5,35,Tigers,American,Central,#FF8B00,DET,DET,518,500,132,0.242,0.311,0.402,0.309,94,7.4,DET,4.46,28,1015.0,0.288,4.68,4.6,7.3
Cleveland Indians,55,58,.487,11.5,37,Indians,American,Central,#E31937,CLE,CLE,483,462,139,0.232,0.298,0.399,0.302,88,8.6,CLE,4.56,30,981.1,0.286,4.45,4.27,7.3
Minnesota Twins,50,65,.435,17.5,30,Twins,American,Central,#B9975B,MIN,MIN,525,490,163,0.242,0.316,0.425,0.32,103,13.2,MIN,4.93,29,1005.0,0.295,4.62,4.36,5.3
Kansas City Royals,49,64,.434,17.5,31,Royals,American,Central,#788DF0,KCR,KCR,467,441,115,0.241,0.301,0.388,0.299,87,6.9,KCR,4.89,25,980.0,0.305,4.51,4.52,6.9
Houston Astros,68,46,.596,--,--,Astros,American,West,#8FBC8B,HOU,HOU,614,589,150,0.266,0.339,0.439,0.336,118,24.6,HOU,3.69,24,1016.0,0.269,4.14,4.15,10.8
Oakland Athletics,67,48,.583,1.5,47,Athletics,American,West,#8FBC8B,OAK,OAK,524,491,142,0.237,0.318,0.406,0.315,104,18.4,OAK,3.59,29,1023.2,0.283,3.8,4.26,13.7
Seattle Mariners,61,55,.526,8.0,40,Mariners,American,West,#8FBC8B,SEA,SEA,483,464,143,0.222,0.299,0.381,0.297,92,8.3,SEA,4.33,31,1020.1,0.289,4.22,4.39,10.6
Los Angeles Angels,58,58,.500,11.0,37,Angels,American,West,#8FBC8B,LAA,LAA,532,504,144,0.252,0.314,0.423,0.318,102,12.2,LAA,4.71,29,1016.2,0.3,4.26,4.19,10.4
Texas Rangers,40,75,.348,28.5,20,Rangers,American,West,#8FBC8B,TEX,TEX,427,408,124,0.221,0.288,0.366,0.286,81,5.4,TEX,4.71,19,1009.1,0.294,4.66,4.47,3.1
Philadelphia Phillies,60,55,.522,--,--,Phillies,National,East,#8FBC8B,PHI,PHI,522,499,137,0.242,0.319,0.406,0.315,95,13.7,PHI,4.4,28,1004.1,0.296,4.31,4.06,10.8
