Tm,W,L,WLperc,GB,E#
Tampa Bay Rays,64,43,.598,--,--
Boston Red Sox,63,44,.589,1.0,55
New York Yankees,56,49,.533,7.0,50
Toronto Blue Jays,54,49,.524,8.0,50
Baltimore Orioles,38,67,.362,25.0,32
Chicago White Sox,62,44,.585,--,--
Cleveland Indians,52,51,.505,8.5,50
Detroit Tigers,51,57,.472,12.0,44
Kansas City Royals,45,59,.433,16.0,42
Minnesota Twins,44,62,.415,18.0,39
Houston Astros,64,42,.604,--,--
Oakland Athletics,60,47,.561,4.5,52
Seattle Mariners,57,50,.533,7.5,49
Los Angeles Angels,52,54,.491,12.0,45
Texas Rangers,39,67,.368,25.0,32
New York Mets,55,50,.524,--,--
Philadelphia Phillies,53,53,.500,2.5,55
Atlanta Braves,52,54,.491,3.5,54
Washington Nationals,49,57,.462,6.5,51
Miami Marlins,45,61,.425,10.5,47
Milwaukee Brewers,64,43,.598,--,--
Cincinnati Reds,56,50,.528,7.5,49
St. Louis Cardinals,53,52,.505,10.0,47
Chicago Cubs,51,56,.477,13.0,43
Pittsburgh Pirates,40,66,.377,23.5,33
San Francisco Giants,67,39,.632,--,--
Los Angeles Dodgers,64,43,.598,3.5,53
San Diego Padres,61,47,.565,7.0,49
Colorado Rockies,46,60,.434,21.0,36
Arizona Diamondbacks,33,74,.308,34.5,22
