task,status
Packages loaded,OK
old directories removed,OK
standings,OK
team batting,OK
team pitching,OK
Sox sched,OK
Cubs sched,OK
batting stats,OK
pitching stats,OK
Sox roster,OK
Cubs roster,OK
stadings appended,OK
standings joined,OK
batting stats joined,OK
pitching stats joined,OK
Sox games,OK
Sox players,OK
Sox batting,OK
Sox pitching,OK
Cubs games,OK
Cubs players,OK
Cubs batting,OK
Cubs pitching,OK
Plotting,OK
League plots,OK
Sox hitting charts,OK
Sox pitching charts,OK
Cubs hitting charts,OK
Cubs pitching charts,OK
h2h batting stats,OK
h2h batting charts,OK
h2h pitching stats,OK
h2h pitching charts,OK
site frozen,Problem
pushed to web,Problem
